Nombre,prueba,tipo,Hora de inserción,Tamaño Total copiado,Total de ficheros copiados,Ficheros borrados,Pago,Cobró,Comentario
,Miércoles 25 de Enero,,,,,,,,
,   52  Dispositivos,,,,,,,,
,   474.1 GB,,,,,,,,
,   1015 ficheros,,,,,,,,
,   $3018,,,,,,,,
Nombre de Dispositivo,,Tipo,Hora de inserción,Tamaño Total copiado,Total de ficheros copiados,Ficheros borrados,Pago,Cobró,Comentario
,Paw Patrol 3 {23-01-2023}.mpg,269MB,05:53:54 ,N:\Paw Patrol 3 {23-01-2023}.mpg,,,,,
,Paw Patrol 5 {23-01-2023}.mpg,269MB,05:54:31 ,N:\Paw Patrol 5 {23-01-2023}.mpg,,,,,
,Paw Patrol 2 {23-01-2023}.mpg,267MB,05:53:37 ,N:\Paw Patrol 2 {23-01-2023}.mpg,,,,,
,Paw Patrol 7 {23-01-2023}.mpg,267MB,05:55:10 ,N:\Paw Patrol 7 {23-01-2023}.mpg,,,,,
CUCOBAÇA (I:),,Disco 1 TB,17:38,38.8 GB,62 ficheros,60 ficheros,$230,,""""""
,Nombre de Fichero,Tamaño,Hora de copia,Ruta donde se copió,,,,,
,7x16 - Master Chef Celebrity (Espana).mp4,5.1GB,05:50:17 ,I:\Master Chef Celebrity (España) Temp. 7\7x16 - Master Chef Celebrity (Espana).mp4,,,,,
,9x11 - La Voz (España).mp4,1.8GB,05:48:49 ,I:\La Voz (España) Temp. 9\9x11 - La Voz (España).mp4,,,,,
,6x00 - ! LIDLT01 Rumbo a la isla de las tentaciones Capitulo 0 {17-01-2023}.mp4,1.6GB,05:41:11 ,I:\La Isla De Las Tentaciones (2022) Temp. 6\6x00 - ! LIDLT01 Rumbo a la isla de las tentaciones Capitulo 0 {17-01-2023}.mp4,,,,,
,9x13 - La Voz (España) FINAL.mp4,1.5GB,05:52:37 ,I:\La Voz (España) Temp. 9\9x13 - La Voz (España) FINAL.mp4,,,,,
,7x15 - Master Chef Celebrity (Espana).mkv,1.4GB,05:53:21 ,I:\Master Chef Celebrity (España) Temp. 7\7x15 - Master Chef Celebrity (Espana).mkv,,,,,
,9x12 - La Voz (España).mp4,1.4GB,05:54:02 ,I:\La Voz (España) Temp. 9\9x12 - La Voz (España).mp4,,,,,
,9x09 - La Voz (España).mp4,1.4GB,05:54:36 ,I:\La Voz (España) Temp. 9\9x09 - La Voz (España).mp4,,,,,
,7x17 - Master Chef Celebrity (Espana).mp4,1.3GB,05:55:09 ,I:\Master Chef Celebrity (España) Temp. 7\7x17 - Master Chef Celebrity (Espana).mp4,,,,,
,7x14 - Master Chef Celebrity (Espana).mkv,1.2GB,05:55:49 ,I:\Master Chef Celebrity (España) Temp. 7\7x14 - Master Chef Celebrity (Espana).mkv,,,,,
,9x07 - La Voz (España).mp4,1.1GB,05:56:19 ,I:\La Voz (España) Temp. 9\9x07 - La Voz (España).mp4,,,,,
,9x06 - La Voz (España).mp4,1.0GB,05:56:40 ,I:\La Voz (España) Temp. 9\9x06 - La Voz (España).mp4,,,,,
,7x18 - Master Chef Celebrity (Espana).mp4,945MB,05:57:14 ,I:\Master Chef Celebrity (España) Temp. 7\7x18 - Master Chef Celebrity (Espana).mp4,,,,,
,6x01 - ! La Isla De Las Tentaciones - 6x01 {23-01-2023}.mp4,921MB,05:43:16 ,I:\La Isla De Las Tentaciones (2022) Temp. 6\6x01 - ! La Isla De Las Tentaciones - 6x01 {23-01-2023}.mp4,,,,,
,S01E05.mkv,908MB,05:47:02 ,I:\! 20 de octubre\Last Light [TENP 1] [Cap.05]  [Dual Audio]\S01E05.mkv,,,,,
,S01E04.mkv,896MB,05:47:52 ,I:\! 20 de octubre\Last Light [TENP 1] [Cap.05]  [Dual Audio]\S01E04.mkv,,,,,
,S01E02.mkv,885MB,05:48:28 ,I:\! 20 de octubre\Last Light [TENP 1] [Cap.05]  [Dual Audio]\S01E02.mkv,,,,,
,S01E03.mkv,880MB,05:50:00 ,I:\! 20 de octubre\Last Light [TENP 1] [Cap.05]  [Dual Audio]\S01E03.mkv,,,,,
,S01E01.mkv,871MB,05:52:18 ,I:\! 20 de octubre\Last Light [TENP 1] [Cap.05]  [Dual Audio]\S01E01.mkv,,,,,
,9x10 - La Voz (España).mp4,863MB,05:57:29 ,I:\La Voz (España) Temp. 9\9x10 - La Voz (España).mp4,,,,,
,9x08 - La Voz (España).mp4,768MB,05:57:45 ,I:\La Voz (España) Temp. 9\9x08 - La Voz (España).mp4,,,,,
,7x12 - Master Chef Celebrity (Espana).mp4,605MB,05:58:32 ,I:\Master Chef Celebrity (España) Temp. 7\7x12 - Master Chef Celebrity (Espana).mp4,,,,,
,Machos alfa S01E03.mkv,543MB,05:45:41 ,I:\! 20 de octubre\Machos alfa Temporada 1 Completa (2022) HD 720p Castellano 5.1\Machos alfa S01E03.mkv,,,,,
,Machos alfa S01E04.mkv,536MB,05:46:07 ,I:\! 20 de octubre\Machos alfa Temporada 1 Completa (2022) HD 720p Castellano 5.1\Machos alfa S01E04.mkv,,,,,
,Machos alfa S01E07.mkv,506MB,05:46:31 ,I:\! 20 de octubre\Machos alfa Temporada 1 Completa (2022) HD 720p Castellano 5.1\Machos alfa S01E07.mkv,,,,,
,Machos alfa S01E10.mkv,506MB,05:46:53 ,I:\! 20 de octubre\Machos alfa Temporada 1 Completa (2022) HD 720p Castellano 5.1\Machos alfa S01E10.mkv,,,,,
,Machos alfa S01E06.mkv,484MB,05:47:34 ,I:\! 20 de octubre\Machos alfa Temporada 1 Completa (2022) HD 720p Castellano 5.1\Machos alfa S01E06.mkv,,,,,
,Machos alfa S01E02.mkv,481MB,05:48:19 ,I:\! 20 de octubre\Machos alfa Temporada 1 Completa (2022) HD 720p Castellano 5.1\Machos alfa S01E02.mkv,,,,,
,Machos alfa S01E09.mkv,481MB,05:49:50 ,I:\! 20 de octubre\Machos alfa Temporada 1 Completa (2022) HD 720p Castellano 5.1\Machos alfa S01E09.mkv,,,,,
,Machos alfa S01E05.mkv,460MB,05:52:05 ,I:\! 20 de octubre\Machos alfa Temporada 1 Completa (2022) HD 720p Castellano 5.1\Machos alfa S01E05.mkv,,,,,
,Machos alfa S01E08.mkv,419MB,05:53:14 ,I:\! 20 de octubre\Machos alfa Temporada 1 Completa (2022) HD 720p Castellano 5.1\Machos alfa S01E08.mkv,,,,,
